,naive,moving_average,arima,sarima
mae,14.84,12.24,7.639674097034825,8.530645413966576
rmse,16.87483333251028,14.374978260853126,9.492073435314532,10.947542359755884
mape,151.30843502618438,131.48987496447853,87.57116447528426,96.78698068251794
